,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82
50words,Phoneme,FaceAll,MedicalImages,InsectWingbeatSound,FacesUCR,ShapesAll,Cricket_X,MALLAT,Lighting7,MiddlePhalanxTW,ProximalPhalanxTW,uWaveGestureLibrary_X,Cricket_Y,DistalPhalanxTW,uWaveGestureLibrary_Y,Cricket_Z,InlineSkate,Beef,ElectricDevices,OliveOil,UWaveGestureLibraryAll,ChlorineConcentration,MiddlePhalanxOutlineAgeGroup,ECG5000,uWaveGestureLibrary_Z,CBF,ProximalPhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,synthetic_control,Meat,CinC_ECG_torso,ScreenType,Ham,ArrowHead,MiddlePhalanxOutlineCorrect,Lighting2,Worms,PhalangesOutlinesCorrect,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineCorrect,Strawberry,WormsTwoClass,Gun_Point,LargeKitchenAppliances,RefrigerationDevices,Symbols,Computers,Coffee,Two_Patterns,Wine,SonyAIBORobotSurfaceII,ItalyPowerDemand,ECGFiveDays,HandOutlines,SmallKitchenAppliances,wafer,MoteStrain,Adiac,Earthquakes,FordA,ToeSegmentation1,Trace,TwoLeadECG,FordB,ToeSegmentation2,ECG200,SonyAIBORobotSurface,OSULeaf,ShapeletSim,SwedishLeaf,yoga,BeetleFly,BirdChicken,Car,DiatomSizeReduction,Plane,FISH,Haptics,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Herring,FaceFour
Adiac,ShapesAll,Phoneme,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,SwedishLeaf,Cricket_Z,Cricket_Y,Plane,Cricket_X,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,FISH,Trace,synthetic_control,OSULeaf,uWaveGestureLibrary_Y,FaceFour,Symbols,ElectricDevices,uWaveGestureLibrary_X,Worms,InlineSkate,DiatomSizeReduction,yoga,Two_Patterns,SmallKitchenAppliances,ShapeletSim,SonyAIBORobotSurface,ECG200,Car,BeetleFly,BirdChicken,FacesUCR,ToeSegmentation2,ToeSegmentation1,Herring,FordB,TwoLeadECG,CinC_ECG_torso,MoteStrain,wafer,SonyAIBORobotSurfaceII,InsectWingbeatSound,DistalPhalanxTW,LargeKitchenAppliances,FordA,FaceAll,Earthquakes,RefrigerationDevices,ECGFiveDays,ItalyPowerDemand,ECG5000,ScreenType,Haptics,MedicalImages,DistalPhalanxOutlineAgeGroup,Computers,ProximalPhalanxTW,MiddlePhalanxTW,Lighting7,DistalPhalanxOutlineCorrect,50words,MiddlePhalanxOutlineAgeGroup,WordsSynonyms,ProximalPhalanxOutlineAgeGroup,CBF,ChlorineConcentration,Ham,MiddlePhalanxOutlineCorrect,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,MALLAT,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
ArrowHead,50words,WordsSynonyms,Phoneme,FaceAll,FacesUCR,MALLAT,MedicalImages,Lighting7,OliveOil,ShapesAll,InsectWingbeatSound,ProximalPhalanxTW,Cricket_X,MiddlePhalanxTW,uWaveGestureLibrary_Y,Meat,DistalPhalanxTW,Strawberry,Cricket_Y,WormsTwoClass,ECG5000,Worms,Gun_Point,CBF,uWaveGestureLibrary_X,ProximalPhalanxOutlineAgeGroup,Cricket_Z,Beef,synthetic_control,HandOutlines,CinC_ECG_torso,ChlorineConcentration,ProximalPhalanxOutlineCorrect,ElectricDevices,UWaveGestureLibraryAll,PhalangesOutlinesCorrect,MiddlePhalanxOutlineAgeGroup,uWaveGestureLibrary_Z,wafer,InlineSkate,Lighting2,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,Ham,DistalPhalanxOutlineCorrect,ScreenType,RefrigerationDevices,Computers,Symbols,LargeKitchenAppliances,Coffee,SonyAIBORobotSurfaceII,Wine,Two_Patterns,ItalyPowerDemand,ECGFiveDays,Earthquakes,MoteStrain,SmallKitchenAppliances,FordA,ToeSegmentation1,Adiac,Trace,TwoLeadECG,FordB,ToeSegmentation2,ECG200,SonyAIBORobotSurface,OSULeaf,ShapeletSim,SwedishLeaf,BeetleFly,yoga,BirdChicken,Car,DiatomSizeReduction,Plane,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
Beef,50words,WordsSynonyms,Phoneme,FaceAll,FacesUCR,MALLAT,MedicalImages,Lighting7,OliveOil,ShapesAll,InsectWingbeatSound,Cricket_X,ProximalPhalanxTW,MiddlePhalanxTW,uWaveGestureLibrary_Y,Meat,DistalPhalanxTW,Cricket_Y,Strawberry,Worms,WormsTwoClass,HandOutlines,CBF,uWaveGestureLibrary_X,Gun_Point,ECG5000,ProximalPhalanxOutlineAgeGroup,Cricket_Z,CinC_ECG_torso,synthetic_control,ChlorineConcentration,ElectricDevices,ProximalPhalanxOutlineCorrect,UWaveGestureLibraryAll,MiddlePhalanxOutlineAgeGroup,PhalangesOutlinesCorrect,uWaveGestureLibrary_Z,InlineSkate,wafer,Lighting2,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,ArrowHead,Ham,DistalPhalanxOutlineCorrect,ScreenType,RefrigerationDevices,Computers,Symbols,LargeKitchenAppliances,Wine,SonyAIBORobotSurfaceII,Two_Patterns,ItalyPowerDemand,Coffee,ECGFiveDays,Earthquakes,MoteStrain,SmallKitchenAppliances,FordA,ToeSegmentation1,Adiac,Trace,TwoLeadECG,FordB,ToeSegmentation2,ECG200,SonyAIBORobotSurface,OSULeaf,ShapeletSim,SwedishLeaf,BeetleFly,yoga,BirdChicken,Car,DiatomSizeReduction,Plane,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
BeetleFly,Phoneme,Adiac,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Cricket_Z,Cricket_Y,SwedishLeaf,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Cricket_X,Plane,InlineSkate,ElectricDevices,OSULeaf,uWaveGestureLibrary_X,uWaveGestureLibrary_Y,Two_Patterns,synthetic_control,Symbols,Trace,Worms,Car,InsectWingbeatSound,FISH,CinC_ECG_torso,DiatomSizeReduction,SmallKitchenAppliances,FaceFour,yoga,FaceAll,FordB,TwoLeadECG,DistalPhalanxTW,SonyAIBORobotSurface,ECG200,ToeSegmentation2,LargeKitchenAppliances,ShapeletSim,FordA,FacesUCR,ToeSegmentation1,50words,ECGFiveDays,MedicalImages,ItalyPowerDemand,wafer,SonyAIBORobotSurfaceII,ECG5000,ScreenType,RefrigerationDevices,MoteStrain,WordsSynonyms,MiddlePhalanxTW,ProximalPhalanxTW,DistalPhalanxOutlineAgeGroup,Lighting7,Computers,Haptics,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,CBF,Ham,MiddlePhalanxOutlineCorrect,MALLAT,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,ShapesAll,HandOutlines,BirdChicken,Earthquakes
BirdChicken,Adiac,Phoneme,NonInvasiveFatalECG_Thorax2,SwedishLeaf,Cricket_Y,NonInvasiveFatalECG_Thorax1,Cricket_Z,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Cricket_X,Plane,OSULeaf,InlineSkate,ElectricDevices,Two_Patterns,Symbols,uWaveGestureLibrary_Y,uWaveGestureLibrary_X,FISH,synthetic_control,Trace,Worms,DiatomSizeReduction,Car,InsectWingbeatSound,SmallKitchenAppliances,CinC_ECG_torso,SonyAIBORobotSurface,FordB,TwoLeadECG,ECG200,FaceAll,FaceFour,DistalPhalanxTW,yoga,ShapeletSim,ToeSegmentation2,LargeKitchenAppliances,FordA,FacesUCR,ToeSegmentation1,50words,SonyAIBORobotSurfaceII,MedicalImages,ECGFiveDays,RefrigerationDevices,ItalyPowerDemand,ECG5000,MoteStrain,ScreenType,wafer,WordsSynonyms,MiddlePhalanxTW,ProximalPhalanxTW,Lighting7,DistalPhalanxOutlineAgeGroup,Computers,Haptics,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,CBF,Ham,MiddlePhalanxOutlineCorrect,MALLAT,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine,ShapesAll,HandOutlines,Herring,BeetleFly
CBF,50words,WordsSynonyms,Phoneme,FaceAll,InsectWingbeatSound,MedicalImages,ShapesAll,Cricket_X,MALLAT,FacesUCR,Lighting7,uWaveGestureLibrary_X,MiddlePhalanxTW,ProximalPhalanxTW,Cricket_Y,InlineSkate,ElectricDevices,DistalPhalanxTW,Cricket_Z,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,uWaveGestureLibrary_Z,ChlorineConcentration,ScreenType,OliveOil,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,ECG5000,CinC_ECG_torso,ProximalPhalanxOutlineAgeGroup,LargeKitchenAppliances,PhalangesOutlinesCorrect,Lighting2,ProximalPhalanxOutlineCorrect,Ham,MiddlePhalanxOutlineCorrect,DistalPhalanxOutlineCorrect,synthetic_control,RefrigerationDevices,Worms,Computers,Meat,Symbols,ECGFiveDays,Gun_Point,Beef,Strawberry,WormsTwoClass,ItalyPowerDemand,SmallKitchenAppliances,FordA,SonyAIBORobotSurfaceII,MoteStrain,ToeSegmentation1,wafer,TwoLeadECG,FordB,Earthquakes,Adiac,ArrowHead,ToeSegmentation2,Trace,ECG200,SonyAIBORobotSurface,Coffee,Wine,OSULeaf,HandOutlines,ShapeletSim,BeetleFly,BirdChicken,yoga,Car,DiatomSizeReduction,Plane,FISH,Haptics,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Herring,FaceFour,Two_Patterns
Car,ShapesAll,Phoneme,Adiac,NonInvasiveFatalECG_Thorax2,SwedishLeaf,NonInvasiveFatalECG_Thorax1,Cricket_Z,Cricket_Y,Plane,Cricket_X,FISH,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,Trace,OSULeaf,synthetic_control,uWaveGestureLibrary_Y,Symbols,ElectricDevices,FaceFour,uWaveGestureLibrary_X,Worms,InlineSkate,Two_Patterns,DiatomSizeReduction,yoga,SmallKitchenAppliances,SonyAIBORobotSurface,BeetleFly,ShapeletSim,ECG200,Herring,BirdChicken,FacesUCR,FordB,TwoLeadECG,CinC_ECG_torso,ToeSegmentation2,ToeSegmentation1,MoteStrain,wafer,InsectWingbeatSound,SonyAIBORobotSurfaceII,DistalPhalanxTW,RefrigerationDevices,Earthquakes,LargeKitchenAppliances,FaceAll,FordA,ECGFiveDays,ItalyPowerDemand,ECG5000,ScreenType,Haptics,MedicalImages,DistalPhalanxOutlineAgeGroup,Computers,ProximalPhalanxTW,MiddlePhalanxTW,Lighting7,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,50words,CBF,WordsSynonyms,ChlorineConcentration,Ham,MiddlePhalanxOutlineCorrect,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,MALLAT,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
ChlorineConcentration,50words,WordsSynonyms,Phoneme,FaceAll,InsectWingbeatSound,ShapesAll,MALLAT,Cricket_X,MedicalImages,Lighting7,uWaveGestureLibrary_X,ProximalPhalanxTW,DistalPhalanxTW,FacesUCR,InlineSkate,Cricket_Y,MiddlePhalanxTW,ElectricDevices,UWaveGestureLibraryAll,uWaveGestureLibrary_Y,OliveOil,Cricket_Z,uWaveGestureLibrary_Z,ScreenType,DistalPhalanxOutlineAgeGroup,CinC_ECG_torso,CBF,ECG5000,ProximalPhalanxOutlineAgeGroup,PhalangesOutlinesCorrect,LargeKitchenAppliances,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,Computers,Gun_Point,Symbols,Worms,Two_Patterns,ItalyPowerDemand,MiddlePhalanxOutlineCorrect,ECGFiveDays,Lighting2,DistalPhalanxOutlineCorrect,Strawberry,MoteStrain,synthetic_control,SmallKitchenAppliances,FordA,RefrigerationDevices,Earthquakes,Ham,SonyAIBORobotSurfaceII,ToeSegmentation1,Beef,Meat,WormsTwoClass,TwoLeadECG,FordB,wafer,ToeSegmentation2,ECG200,Adiac,Trace,SonyAIBORobotSurface,ArrowHead,OSULeaf,Coffee,Wine,ShapeletSim,SwedishLeaf,HandOutlines,BeetleFly,BirdChicken,yoga,Car,DiatomSizeReduction,Plane,FISH,Haptics,NonInvasiveFatalECG_Thorax2,Herring,NonInvasiveFatalECG_Thorax1
CinC_ECG_torso,50words,Phoneme,ShapesAll,WordsSynonyms,InsectWingbeatSound,FaceAll,Cricket_X,Cricket_Y,MedicalImages,Cricket_Z,uWaveGestureLibrary_X,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,InlineSkate,Lighting7,MiddlePhalanxTW,uWaveGestureLibrary_Y,ElectricDevices,DistalPhalanxTW,ProximalPhalanxTW,FacesUCR,Two_Patterns,MALLAT,ScreenType,MiddlePhalanxOutlineAgeGroup,ChlorineConcentration,DistalPhalanxOutlineAgeGroup,synthetic_control,Symbols,Worms,ProximalPhalanxOutlineAgeGroup,Trace,ECG5000,LargeKitchenAppliances,CBF,SmallKitchenAppliances,DistalPhalanxOutlineCorrect,ItalyPowerDemand,Computers,ECGFiveDays,Ham,SonyAIBORobotSurfaceII,MiddlePhalanxOutlineCorrect,RefrigerationDevices,SonyAIBORobotSurface,MoteStrain,FordA,Lighting2,ECG200,TwoLeadECG,FordB,PhalangesOutlinesCorrect,OliveOil,ProximalPhalanxOutlineCorrect,Earthquakes,ToeSegmentation1,Adiac,ToeSegmentation2,Meat,OSULeaf,Gun_Point,ShapeletSim,Beef,WormsTwoClass,Strawberry,BeetleFly,wafer,BirdChicken,yoga,ArrowHead,Coffee,SwedishLeaf,Wine,Plane,Car,HandOutlines,DiatomSizeReduction,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
Coffee,50words,WordsSynonyms,Phoneme,FaceAll,FacesUCR,MALLAT,MedicalImages,Lighting7,OliveOil,ShapesAll,InsectWingbeatSound,ProximalPhalanxTW,Cricket_X,MiddlePhalanxTW,uWaveGestureLibrary_Y,Meat,DistalPhalanxTW,Strawberry,Cricket_Y,WormsTwoClass,Worms,ECG5000,Gun_Point,CBF,uWaveGestureLibrary_X,HandOutlines,ProximalPhalanxOutlineAgeGroup,Cricket_Z,synthetic_control,CinC_ECG_torso,ChlorineConcentration,ElectricDevices,ProximalPhalanxOutlineCorrect,UWaveGestureLibraryAll,PhalangesOutlinesCorrect,MiddlePhalanxOutlineAgeGroup,uWaveGestureLibrary_Z,InlineSkate,wafer,Lighting2,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,Beef,Ham,DistalPhalanxOutlineCorrect,ScreenType,ArrowHead,RefrigerationDevices,Computers,Symbols,LargeKitchenAppliances,SonyAIBORobotSurfaceII,Two_Patterns,ItalyPowerDemand,ECGFiveDays,Earthquakes,MoteStrain,SmallKitchenAppliances,FordA,ToeSegmentation1,Adiac,Trace,TwoLeadECG,FordB,ToeSegmentation2,ECG200,SonyAIBORobotSurface,Wine,OSULeaf,ShapeletSim,SwedishLeaf,BeetleFly,yoga,BirdChicken,Car,DiatomSizeReduction,Plane,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
Computers,50words,Phoneme,WordsSynonyms,ShapesAll,FaceAll,InsectWingbeatSound,Cricket_X,MedicalImages,Cricket_Y,InlineSkate,Lighting7,uWaveGestureLibrary_X,Cricket_Z,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,ProximalPhalanxTW,ElectricDevices,MiddlePhalanxTW,MALLAT,DistalPhalanxTW,uWaveGestureLibrary_Y,Two_Patterns,FacesUCR,ChlorineConcentration,CinC_ECG_torso,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,Symbols,ProximalPhalanxOutlineAgeGroup,CBF,ECG5000,Worms,OliveOil,Lighting2,FordA,MiddlePhalanxOutlineCorrect,PhalangesOutlinesCorrect,ItalyPowerDemand,Ham,ECGFiveDays,synthetic_control,DistalPhalanxOutlineCorrect,ProximalPhalanxOutlineCorrect,TwoLeadECG,FordB,SonyAIBORobotSurfaceII,Gun_Point,SonyAIBORobotSurface,ECG200,ToeSegmentation2,MoteStrain,ToeSegmentation1,Trace,Earthquakes,OSULeaf,Strawberry,Adiac,Meat,WormsTwoClass,Beef,wafer,ShapeletSim,ArrowHead,BeetleFly,BirdChicken,SwedishLeaf,Coffee,yoga,Wine,Car,DiatomSizeReduction,Plane,HandOutlines,FISH,Haptics,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,Herring,FaceFour,ScreenType,LargeKitchenAppliances,RefrigerationDevices
Cricket_X,ShapesAll,Phoneme,50words,Adiac,WordsSynonyms,InsectWingbeatSound,uWaveGestureLibrary_Z,UWaveGestureLibraryAll,FaceAll,InlineSkate,ElectricDevices,uWaveGestureLibrary_X,MedicalImages,uWaveGestureLibrary_Y,Two_Patterns,DistalPhalanxTW,SwedishLeaf,Lighting7,ProximalPhalanxTW,CinC_ECG_torso,MiddlePhalanxTW,Symbols,FacesUCR,synthetic_control,MALLAT,OSULeaf,Worms,LargeKitchenAppliances,FordB,TwoLeadECG,SmallKitchenAppliances,ScreenType,SonyAIBORobotSurface,ECG200,Car,ECG5000,FordA,DistalPhalanxOutlineAgeGroup,DiatomSizeReduction,ToeSegmentation2,ItalyPowerDemand,ECGFiveDays,MiddlePhalanxOutlineAgeGroup,yoga,RefrigerationDevices,ProximalPhalanxOutlineAgeGroup,ChlorineConcentration,ToeSegmentation1,Computers,CBF,OliveOil,Trace,SonyAIBORobotSurfaceII,DistalPhalanxOutlineCorrect,ShapeletSim,Ham,wafer,FISH,MoteStrain,MiddlePhalanxOutlineCorrect,Lighting2,Plane,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,BirdChicken,Gun_Point,Earthquakes,Strawberry,BeetleFly,Meat,Haptics,WormsTwoClass,Beef,Herring,ArrowHead,Coffee,Wine,HandOutlines,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,FaceFour,Cricket_Z
Cricket_Y,ShapesAll,Phoneme,Adiac,50words,InsectWingbeatSound,UWaveGestureLibraryAll,uWaveGestureLibrary_Z,InlineSkate,FaceAll,WordsSynonyms,uWaveGestureLibrary_X,ElectricDevices,MedicalImages,uWaveGestureLibrary_Y,DistalPhalanxTW,Two_Patterns,synthetic_control,MiddlePhalanxTW,Lighting7,ProximalPhalanxTW,CinC_ECG_torso,Symbols,FacesUCR,Worms,LargeKitchenAppliances,SwedishLeaf,SmallKitchenAppliances,ScreenType,OSULeaf,Trace,TwoLeadECG,FordA,FordB,ECG5000,DistalPhalanxOutlineAgeGroup,SonyAIBORobotSurface,MALLAT,ECGFiveDays,ItalyPowerDemand,ToeSegmentation2,ECG200,MiddlePhalanxOutlineAgeGroup,ToeSegmentation1,yoga,RefrigerationDevices,Computers,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,Car,CBF,SonyAIBORobotSurfaceII,DistalPhalanxOutlineCorrect,MoteStrain,DiatomSizeReduction,ShapeletSim,Ham,MiddlePhalanxOutlineCorrect,wafer,BirdChicken,OliveOil,Lighting2,Plane,PhalangesOutlinesCorrect,Earthquakes,ProximalPhalanxOutlineCorrect,BeetleFly,FISH,Gun_Point,Beef,Meat,Strawberry,Haptics,ArrowHead,WormsTwoClass,Herring,Coffee,Wine,HandOutlines,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,FaceFour,Cricket_X
Cricket_Z,ShapesAll,Adiac,Phoneme,uWaveGestureLibrary_Z,50words,UWaveGestureLibraryAll,SwedishLeaf,InlineSkate,InsectWingbeatSound,uWaveGestureLibrary_X,ElectricDevices,FaceAll,uWaveGestureLibrary_Y,WordsSynonyms,OSULeaf,Two_Patterns,synthetic_control,Symbols,DistalPhalanxTW,MedicalImages,Car,Worms,CinC_ECG_torso,DiatomSizeReduction,SonyAIBORobotSurface,Trace,LargeKitchenAppliances,SmallKitchenAppliances,ECG200,Lighting7,FordB,TwoLeadECG,ProximalPhalanxTW,MiddlePhalanxTW,FISH,FacesUCR,ScreenType,FordA,ShapeletSim,ToeSegmentation2,yoga,RefrigerationDevices,ECGFiveDays,ECG5000,ItalyPowerDemand,DistalPhalanxOutlineAgeGroup,SonyAIBORobotSurfaceII,ToeSegmentation1,MALLAT,Plane,BirdChicken,Computers,MiddlePhalanxOutlineAgeGroup,MoteStrain,BeetleFly,ChlorineConcentration,ProximalPhalanxOutlineAgeGroup,CBF,wafer,DistalPhalanxOutlineCorrect,Earthquakes,Ham,Haptics,MiddlePhalanxOutlineCorrect,OliveOil,Herring,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,Gun_Point,Strawberry,Meat,NonInvasiveFatalECG_Thorax2,WormsTwoClass,Beef,FaceFour,ArrowHead,NonInvasiveFatalECG_Thorax1,Coffee,Wine,HandOutlines,Cricket_X
DiatomSizeReduction,ShapesAll,Adiac,Phoneme,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1,SwedishLeaf,Cricket_Z,Plane,Cricket_Y,Cricket_X,uWaveGestureLibrary_Z,FISH,UWaveGestureLibraryAll,OSULeaf,Trace,synthetic_control,uWaveGestureLibrary_Y,FaceFour,Symbols,ElectricDevices,uWaveGestureLibrary_X,Car,Worms,InlineSkate,yoga,Two_Patterns,SmallKitchenAppliances,BirdChicken,ShapeletSim,BeetleFly,SonyAIBORobotSurface,ECG200,ToeSegmentation2,FacesUCR,Herring,ToeSegmentation1,FordB,TwoLeadECG,CinC_ECG_torso,MoteStrain,wafer,SonyAIBORobotSurfaceII,InsectWingbeatSound,DistalPhalanxTW,Earthquakes,LargeKitchenAppliances,RefrigerationDevices,FaceAll,FordA,Haptics,ECGFiveDays,ItalyPowerDemand,ECG5000,ScreenType,MedicalImages,DistalPhalanxOutlineAgeGroup,ProximalPhalanxTW,Computers,MiddlePhalanxTW,Lighting7,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,50words,WordsSynonyms,CBF,ChlorineConcentration,Ham,MiddlePhalanxOutlineCorrect,Lighting2,PhalangesOutlinesCorrect,ProximalPhalanxOutlineCorrect,MALLAT,OliveOil,Gun_Point,Strawberry,WormsTwoClass,Meat,Beef,ArrowHead,Coffee,Wine
DistalPhalanxOutlineAgeGroup,50words,Phoneme,WordsSynonyms,FaceAll,ShapesAll,InsectWingbeatSound,MedicalImages,Cricket_X,MALLAT,Cricket_Y,uWaveGestureLibrary_X,Lighting7,InlineSkate,UWaveGestureLibraryAll,Cricket_Z,uWaveGestureLibrary_Z,ElectricDevices,FacesUCR,uWaveGestureLibrary_Y,Two_Patterns,OliveOil,CinC_ECG_torso,ScreenType,ChlorineConcentration,ECG5000,LargeKitchenAppliances,Worms,CBF,Symbols,Lighting2,SmallKitchenAppliances,Ham,ItalyPowerDemand,ECGFiveDays,DistalPhalanxTW,synthetic_control,RefrigerationDevices,Computers,Gun_Point,FordA,TwoLeadECG,FordB,SonyAIBORobotSurfaceII,Strawberry,MiddlePhalanxTW,MoteStrain,SonyAIBORobotSurface,ECG200,ToeSegmentation2,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,Trace,ToeSegmentation1,WormsTwoClass,Meat,Earthquakes,OSULeaf,Beef,wafer,MiddlePhalanxOutlineCorrect,Adiac,PhalangesOutlinesCorrect,ProximalPhalanxTW,ArrowHead,ProximalPhalanxOutlineAgeGroup,ShapeletSim,Coffee,Wine,ProximalPhalanxOutlineCorrect,BeetleFly,BirdChicken,SwedishLeaf,yoga,HandOutlines,Car,Plane,DiatomSizeReduction,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
DistalPhalanxOutlineCorrect,50words,WordsSynonyms,Phoneme,FaceAll,InsectWingbeatSound,ShapesAll,Cricket_X,MedicalImages,MALLAT,uWaveGestureLibrary_X,Cricket_Y,Lighting7,InlineSkate,ElectricDevices,UWaveGestureLibraryAll,FacesUCR,Cricket_Z,uWaveGestureLibrary_Z,uWaveGestureLibrary_Y,CinC_ECG_torso,OliveOil,LargeKitchenAppliances,Two_Patterns,ScreenType,CBF,ECG5000,ChlorineConcentration,Symbols,Worms,SmallKitchenAppliances,Lighting2,ECGFiveDays,FordA,Computers,RefrigerationDevices,Gun_Point,ItalyPowerDemand,synthetic_control,Ham,MiddlePhalanxTW,DistalPhalanxTW,Strawberry,DistalPhalanxOutlineAgeGroup,TwoLeadECG,FordB,ToeSegmentation1,SonyAIBORobotSurfaceII,ToeSegmentation2,MiddlePhalanxOutlineAgeGroup,Meat,ECG200,WormsTwoClass,Earthquakes,MoteStrain,SonyAIBORobotSurface,Beef,Trace,MiddlePhalanxOutlineCorrect,wafer,OSULeaf,Adiac,ProximalPhalanxTW,PhalangesOutlinesCorrect,ArrowHead,ProximalPhalanxOutlineAgeGroup,Coffee,Wine,ShapeletSim,ProximalPhalanxOutlineCorrect,BeetleFly,BirdChicken,SwedishLeaf,HandOutlines,yoga,Car,DiatomSizeReduction,Plane,FISH,Haptics,Herring,NonInvasiveFatalECG_Thorax2,NonInvasiveFatalECG_Thorax1
